replicate,scenario,family,family_label,abundance,mean_capacity,population,window_mean_wealth_gini,window_mean_welfare,final_wealth_gini,final_mean_energy
2,patchy_high,patchy,Patchy,high,0.75,32,0.13251788133286002,9.722391474289212e-07,0.13068717634535987,0.0
2,centralized_high,centralized,Centralized,high,0.75,4,0.013611219195096402,0.16811372349311804,0.014721554431212924,0.1577657046816729
2,centralized_high,centralized,Centralized,high,0.75,8,0.03995897043954505,0.17469021289845915,0.04467285584851499,0.2552684037680373
2,centralized_high,centralized,Centralized,high,0.75,16,0.053521709563744795,0.05154701667405673,0.0547219154736307,0.06398330980211833
2,centralized_high,centralized,Centralized,high,0.75,32,0.1244162858669594,0.0,0.12298304250336822,0.0
2,decentralized_high,decentralized,Decentralized,high,0.75,4,0.016029326536186606,0.19100112028330452,0.0191301580940888,0.16415388537028097
2,decentralized_high,decentralized,Decentralized,high,0.75,8,0.04259335222965609,0.16727361068889593,0.04683421448799274,0.2502786832209041
2,decentralized_high,decentralized,Decentralized,high,0.75,16,0.054567008874162444,0.04553954313440706,0.05561169413479394,0.05904707907954416
2,decentralized_high,decentralized,Decentralized,high,0.75,32,0.12311425551656395,0.0,0.12149014941252179,0.0
2,fragmented_high,fragmented,Fragmented,high,0.75,4,0.01660222282036948,0.19804217160394763,0.01587795390864577,0.19429608379017468
2,fragmented_high,fragmented,Fragmented,high,0.75,8,0.034216830857824565,0.1492550095167855,0.03812806363444299,0.25227797268052754
2,fragmented_high,fragmented,Fragmented,high,0.75,16,0.04789733822278072,0.05082524239362685,0.04769850992400637,0.06370967162354998
2,fragmented_high,fragmented,Fragmented,high,0.75,32,0.13627888100810584,6.473004284403717e-07,0.1343419570055402,0.0
2,uniform_low,uniform,Uniform,low,0.35,4,0.02025114468605527,0.03576249100674599,0.020520011839646246,0.05116820341136535
2,uniform_low,uniform,Uniform,low,0.35,8,0.044538596673247194,0.023405608709338513,0.0445671128580345,0.03929469751117931
2,uniform_low,uniform,Uniform,low,0.35,16,0.058386059556085106,0.006076095614172102,0.056981814162686995,0.006504442459892472
2,uniform_low,uniform,Uniform,low,0.35,32,0.13233026328184502,0.0,0.1305171760130961,0.0
2,weak_patchy_low,weak_patchy,Weak patchy,low,0.35,4,0.030792972800799668,0.03565715783970203,0.030419681322530367,0.0505029284986327
2,weak_patchy_low,weak_patchy,Weak patchy,low,0.35,8,0.05207587996039921,0.024011462638913423,0.052951737061736504,0.0368992441390774
2,weak_patchy_low,weak_patchy,Weak patchy,low,0.35,16,0.060114700315606326,0.005835482479448742,0.05938895961678914,0.006670712205307449
