scenario,scenario_label,scenario_group,population,replicate,cooperation_rate,collective_action_entropy,collective_order,switch_rate,wealth_gini,mean_welfare,mean_wealth,total_resource,mean_resource_fraction,unique_policy_count,policy_entropy,policy_hamming_mean,policy_cooperate_scarce,policy_cooperate_moderate,policy_cooperate_abundant,network_density,network_components,largest_component_fraction,network_clustering,network_policy_similarity,policy_assortativity
split_high_low,High patchy + low fragmented split,mixed,16,2,0.01375,0.07420381465574306,0.9725,0.0275,0.29960191923301543,59.72253294279334,69.7235329427906,25.793617072484057,0.4414611830461862,4,0.5591404279431216,0.2833333333333333,0.1875,0.0,0.4375,0.03333333333333333,12,0.1875,0.0,0.8333333333333334,-0.3333333333333333
split_high_low,High patchy + low fragmented split,mixed,32,2,0.0955,0.4541676861737172,0.809,0.0036875,0.49668118120974974,33.66297710222338,41.425994159028235,14.263422318897671,0.2441589775964847,5,0.5941008315225847,0.2829301075268817,0.15625,0.03125,0.46875,0.04233870967741935,15,0.15625,0.2708333333333333,0.746031746031746,0.3488372093023258
decentralized_high_in_low,Decentralized high islands + low background,mixed,8,2,0.0125,0.05435644431995963,0.975,0.025,0.03396848792389187,92.36565571788303,102.3666557178777,38.93879128767281,0.7320392033430819,4,0.5162649802317995,0.3095238095238096,0.25,0.125,0.125,0.0,8,0.125,0.0,nan,nan
decentralized_high_in_low,Decentralized high islands + low background,mixed,16,2,0.0103125,0.055259813921703996,0.979375,0.020625,0.09446614920712161,83.7968164959967,93.79781649599298,34.40184415312651,0.6352019264978769,5,0.5422048239367273,0.2833333333333333,0.1875,0.0625,0.25,0.03333333333333333,12,0.1875,0.0,0.9166666666666667,-0.14285714285714288
decentralized_high_in_low,Decentralized high islands + low background,mixed,32,2,0.03125,0.20062232431271457,0.9375,6.25e-05,0.2891701529731833,38.602363214293554,48.53096477947673,15.609000514572015,0.278214539177394,3,0.3837045170646269,0.1868279569892473,0.03125,0.0,0.40625,0.04233870967741935,15,0.15625,0.2708333333333333,0.8253968253968254,0.06666666666666676
uniform_high,Uniform high,single,8,3,0.01825,0.07825700565938083,0.9635,0.0365,0.026616003984701292,93.22089067329955,103.22189067329394,46.18226477706389,0.615763530360852,3,0.5,0.3333333333333333,0.5,0.0,0.75,0.0,8,0.125,0.0,nan,nan
uniform_high,Uniform high,single,16,3,0.034375,0.17594539126684416,0.93125,0.06875,0.13326294728735313,76.71382325449183,86.714823254489,37.40832003076372,0.4987776004101829,4,0.5306390622295664,0.3194444444444444,0.375,0.0,0.6875,0.025,13,0.1875,0.0,1.0,nan
uniform_high,Uniform high,single,32,3,0.0,0.0,1.0,3.125e-05,0.28080731056962205,32.41290168502917,42.41390168502931,13.468199125268516,0.17957598833691354,3,0.42091057669697945,0.20631720430107525,0.0,0.0625,0.59375,0.04032258064516129,15,0.1875,0.171875,0.7666666666666667,-0.16129032258064532
patchy_high,Patchy high,single,8,3,0.0,0.0,1.0,0.0,0.03426531550736345,92.77318345873692,102.77418345873163,46.3104737972929,0.6163678447409289,3,0.43293164689846614,0.32142857142857134,0.375,0.0,0.75,0.0,8,0.125,0.0,nan,nan
patchy_high,Patchy high,single,16,3,0.018625,0.09671298484087162,0.96275,0.03725,0.1512876736845331,74.86978492118006,84.87078492117718,37.968227596159636,0.4990119829214021,5,0.6509398437049277,0.34722222222222215,0.3125,0.0625,0.6875,0.025,13,0.1875,0.0,0.888888888888889,-0.1999999999999988
