scenario,population,replicate,agent,x,y,region,policy_scarce,policy_moderate,policy_abundant,cooperation_preference,wealth,energy
centralized_low,32,3,agent_7,5,3,centralized_low,D,D,C,0.3333333333333333,0.7951586576761684,0.0
centralized_low,32,3,agent_8,9,3,centralized_low,D,D,C,0.3333333333333333,1.1421957636658981,0.0
centralized_low,32,3,agent_9,7,9,centralized_low,C,D,C,0.6666666666666666,5.764893856107013,0.0
centralized_low,32,3,agent_10,2,6,centralized_low,D,D,D,0.0,8.90951739122524,0.0
centralized_low,32,3,agent_11,1,0,centralized_low,C,D,D,0.3333333333333333,1.0890957907778709,0.0
centralized_low,32,3,agent_12,6,7,centralized_low,D,D,C,0.3333333333333333,5.239151635327446,0.0
centralized_low,32,3,agent_13,8,2,centralized_low,C,D,D,0.3333333333333333,4.821474011624119,0.0
centralized_low,32,3,agent_14,8,5,centralized_low,D,D,C,0.3333333333333333,0.9132641883630859,0.0
centralized_low,32,3,agent_15,8,4,centralized_low,D,D,C,0.3333333333333333,1.0385922326512829,0.0
centralized_low,32,3,agent_16,1,2,centralized_low,D,D,D,0.0,1.8193619988971894,0.0
centralized_low,32,3,agent_17,4,7,centralized_low,C,C,C,1.0,5.3332804263992495,0.0
centralized_low,32,3,agent_18,6,2,centralized_low,D,D,C,0.3333333333333333,1.6776303968259991,0.0
centralized_low,32,3,agent_19,5,6,centralized_low,D,D,D,0.0,2.7207041855730103,0.0
centralized_low,32,3,agent_20,1,1,centralized_low,D,D,C,0.3333333333333333,0.6858947204861803,0.0
centralized_low,32,3,agent_21,5,2,centralized_low,D,D,D,0.0,0.4815781904705215,0.0
centralized_low,32,3,agent_22,5,2,centralized_low,D,C,C,0.6666666666666666,0.4162607384421173,0.0
centralized_low,32,3,agent_23,2,5,centralized_low,C,D,D,0.3333333333333333,6.622617819325239,0.0
centralized_low,32,3,agent_24,8,7,centralized_low,C,D,D,0.3333333333333333,1.9509465502457568,0.0
centralized_low,32,3,agent_25,3,7,centralized_low,C,C,C,1.0,7.7436012514894115,0.0
centralized_low,32,3,agent_26,4,3,centralized_low,D,D,C,0.3333333333333333,0.9661117338987972,0.0
