scenario,population,replicate,phase,time,cooperation_rate,collective_action_entropy,collective_order,switch_rate,wealth_gini,mean_welfare,mean_wealth,total_resource,mean_resource_fraction
decentralized_high,16,7,training,500,0.3125,0.8960382325345574,0.375,0.5,0.14519044861759567,7.3869910260622325,7.38699102606218,38.248771517697044,0.5255720001327839
decentralized_high,16,7,training,550,0.0625,0.3372900666170139,0.875,0.3125,0.14797307094590573,8.006773313477638,8.1067733134776,38.15121739280646,0.5242224003323396
decentralized_high,16,7,training,600,0.125,0.5435644431995964,0.75,0.3125,0.1507909350204979,8.623524678035672,8.823524678035657,38.12115178722494,0.5239192332830352
decentralized_high,16,7,training,650,0.3125,0.8960382325345574,0.375,0.375,0.15344245694435488,9.234508891831103,9.53450889183111,38.210778446223586,0.5249828302561537
decentralized_high,16,7,training,700,0.125,0.5435644431995964,0.75,0.25,0.15566098425023878,9.848299221468046,10.248299221468075,38.1792074462032,0.5246587831425085
decentralized_high,16,7,training,750,0.1875,0.6962122601251458,0.625,0.25,0.15772826727332,10.460181234489855,10.960181234489905,38.204883281909005,0.5248425193808334
decentralized_high,16,7,training,800,0.1875,0.6962122601251458,0.625,0.375,0.15956824650149093,11.075305471739565,11.675305471739641,38.18360284673844,0.5244863340721715
decentralized_high,16,7,training,850,0.3125,0.8960382325345574,0.375,0.375,0.16124596395878066,11.687611022447282,12.387611022447384,38.17929841664324,0.5244945602754385
decentralized_high,16,7,training,900,0.125,0.5435644431995964,0.75,0.375,0.16276502155648176,12.297127259062291,13.097127259062416,38.202624237046024,0.524803573718441
decentralized_high,16,7,training,950,0.1875,0.6962122601251458,0.625,0.375,0.16448190038716404,12.922223244034733,13.822223244034863,38.041855831654445,0.522869756198131
decentralized_high,16,7,training,1000,0.125,0.5435644431995964,0.75,0.3125,0.16577026110220294,13.537423170771959,14.53742317077208,38.066005562546025,0.5231867784619412
decentralized_high,16,7,training,1050,0.125,0.5435644431995964,0.75,0.1875,0.1671108999614337,14.150948862292775,15.25094886229288,38.11502710717988,0.5238979887725931
decentralized_high,16,7,training,1100,0.1875,0.6962122601251458,0.625,0.3125,0.16852956188277268,14.778261152014743,15.978261152014827,37.99049853614866,0.5220375919590988
decentralized_high,16,7,training,1150,0.1875,0.6962122601251458,0.625,0.375,0.1694042611673634,15.392780710804823,16.692780710804875,38.07459473089009,0.5231312050051564
decentralized_high,16,7,training,1200,0.1875,0.6962122601251458,0.625,0.3125,0.17043213113839917,16.01329507941992,17.413295079419935,38.053421875955884,0.5228674165737006
decentralized_high,16,7,training,1250,0.125,0.5435644431995964,0.75,0.375,0.17114416818480427,16.626388669662106,18.12638866966208,38.12866858709795,0.5239246512683159
decentralized_high,16,7,training,1300,0.1875,0.6962122601251458,0.625,0.25,0.17187988067611237,17.239339880930174,18.839339880930112,38.16552622882968,0.5243892373670355
decentralized_high,16,7,training,1350,0.125,0.5435644431995964,0.75,0.4375,0.17273487646488728,17.86074655013047,19.560746550130368,38.097715164493664,0.5235754353965547
decentralized_high,16,7,training,1400,0.125,0.5435644431995964,0.75,0.1875,0.17332536506259455,18.47680615608136,20.276806156081214,38.11138418557238,0.5236614674291948
decentralized_high,16,7,training,1450,0.125,0.5435644431995964,0.75,0.375,0.17384778537473222,19.09210117715576,20.99210117715558,38.15300483157341,0.5242542098041852
decentralized_high,16,7,training,1500,0.125,0.5435644431995964,0.75,0.375,0.17451712691253163,19.71503406115338,21.715034061153148,38.072048483147555,0.5232406142587215
decentralized_high,16,7,training,1550,0.125,0.5435644431995964,0.75,0.3125,0.17523025826571237,20.339579763878056,22.43957976387778,37.99718780217602,0.5221933031498284
decentralized_high,16,7,training,1600,0.125,0.5435644431995964,0.75,0.1875,0.17592638451694143,20.96200019040524,23.162000190404925,37.95878842951964,0.5216786227494393
decentralized_high,16,7,training,1650,0.0,0.0,1.0,0.0625,0.17637086728511853,21.579425246535745,23.879425246535384,38.003694138303466,0.5222888889623665
decentralized_high,16,7,training,1700,0.0625,0.3372900666170139,0.875,0.125,0.17691923447691904,22.199525888560565,24.599525888560162,38.013975168106974,0.5224959231531736
decentralized_high,16,7,training,1750,0.125,0.5435644431995964,0.75,0.1875,0.1774090985541601,22.818368605333653,25.318368605333244,38.035572773990694,0.5226452986056219
decentralized_high,16,7,training,1800,0.125,0.5435644431995964,0.75,0.3125,0.17791450657424268,23.43564909531177,26.035649095311385,38.07726543213766,0.5231603704335129
decentralized_high,16,7,training,1850,0.125,0.5435644431995964,0.75,0.25,0.17845456547999716,24.05761345139407,26.757613451393702,38.04792477089869,0.5227922556460028
decentralized_high,16,7,training,1900,0.125,0.5435644431995964,0.75,0.25,0.17894422102834784,24.681422557670977,27.481422557670637,37.991056989689845,0.5220682502487253
decentralized_high,16,7,training,1950,0.125,0.5435644431995964,0.75,0.1875,0.1793864083329606,25.303540192304553,28.20354019230423,37.982491967728976,0.5220256828195247
decentralized_high,16,7,training,2000,0.0625,0.3372900666170139,0.875,0.125,0.1798752016242,25.928341115104008,28.928341115103724,37.941824005639,0.5213553037394244
decentralized_high,16,7,training,2050,0.1875,0.6962122601251458,0.625,0.25,0.18024981130202167,26.548065153339405,29.64806515333916,37.961701484555896,0.5217016140885884
decentralized_high,16,7,training,2100,0.0625,0.3372900666170139,0.875,0.125,0.18063482156208988,27.169958748884966,30.36995874888477,37.942226216926606,0.521417373626036
